No.,English,Russian,IPApronunciation_rus,German,IPApronunciation_ger
1,I,"я(ja),аз(az,“archaic”)",ja,ich,ɪç
2,you(singular),ты(ty),tɨ,"du,Sie(polite)","duː,ziː"
3,he,он(on),on,er,eːɐ̯
4,we,мы(my),mɨ,wir,viːɐ̯
5,you(plural),вы(vy),vɨ,"ihr,Sie(polite)","iːɐ̯,ziː"
6,they,"они́(oní),оне́(oné,“archaic, feminine only”)",ɐˈnʲi,sie,ziː
7,this,"э́то(éto),сё(sjó,“archaic, used in expressions”)",ˈɛtə,dies(es),"diːs,ˈdiːzəs"
8,that,то(to),to,"das,jenes(formal)","das,ˈjeːnəs"
9,here,"здесь(zdesʹ),тут(tut)","zdʲesʲ,tut",hier,hiːɐ̯
10,there,там(tam),tam,"da,dort(formal)","daː,dɔʁt"
11,who,кто(kto),kto,wer,veːɐ̯
12,what,что(što),ʂto,was,vas
13,where,где(gde),ɡdʲe,wo,voː
14,when,когда́(kogdá),kɐˈɡda,wann,van
15,how,как(kak),kak,wie,viː
16,not,не(ne),nʲe,nicht,nɪçt
17,all,"всё(vsjó,“everything”),все(vse,“everybody”)","fsʲɵ,fsʲe",alle,ˈalə
18,many,"мно́гие(mnógije),мно́го(mnógo,“adverb”)",ˈmnoɡʲɪjɪ,viele,ˈfiːlə
19,some,"не́сколько(néskolʹko),не́которые(nékotoryje)",ˈnʲeskəlʲkə,einige,ˈaɪ̯nɪɡə
20,few,"немно́гие(nemnógije),ма́ло(málo,“adverb”)",nʲɪˈmnoɡʲɪjɪ,wenig,ˈveːnɪç
21,other,"друго́й(drugój),ино́й(inój)","drʊˈɡoj,ɪˈnoj",andere,ˈandəʁə
22,one,оди́н(odín),ɐˈdʲin,eins,aɪ̯ns
23,two,два(dva),dva,zwei,tsvaɪ̯
24,three,три(tri),trʲi,drei,dʁaɪ̯
25,four,четыре(četyre),tɕɪˈtɨrʲɪ,vier,fiːɐ̯
26,five,пять(pjatʹ),pʲætʲ,fünf,fʏnf
27,big,"большо́й(bolʹšój),вели́кий(velíkij,“great”),кру́пный(krúpnyj)",bɐˈlʲʂoj,groß,ɡʁoːs
28,long,"дли́нный(dlínnyj,“size”),до́лгий(dólgij,“time”)",ˈdʲlʲinnɨj,lang,laŋ
29,wide,широ́кий(širókij),ʂɨˈrokʲɪj,"breit,weit","bʁaɪ̯t,vaɪ̯t"
30,thick,то́лстый(tólstyj),ˈtolstɨj,dick,dɪk
31,heavy,"тяжёлый(tjažólyj),тя́жкий(tjážkij)",tʲɪˈʐolɨj,schwer,ʃveːɐ̯
32,small,"ма́ленький(málenʹkij),ма́лый(mályj)",ˈmalʲɪnʲkʲɪj,klein,klaɪ̯n
33,short,"коро́ткий(korótkij),кра́ткий(krátkij)",kɐˈrotkʲɪj,kurz,kʊʁts
34,narrow,у́зкий(úzkij),ˈusʲkʲɪj,eng,ɛŋ
35,thin,то́нкий(tónkij),ˈtonkʲɪj,dünn,dʏn
36,woman,же́нщина(žénščina),ˈʐenʲɕɕɪnə,Frau,fʁaʊ̯
37,man(male),мужчи́на(mužčína),mʊˈɕɕinə,Mann,man
38,man(human),челове́к(čelovék),tɕɪlɐˈvʲek,Mensch,mɛnʃ
39,child,"ребёнок(rebjónok),дитя́(ditjá)","rʲɪˈbʲɵnək,dʲɪˈtʲa",Kind,kɪnt
40,wife,"жена́(žená),супру́га(suprúga)",ʐɨˈna,"Frau,Ehefrau","fʁaʊ̯,ˈeːəfʁaʊ̯"
41,husband,"муж(muž),супру́г(suprúg)",muʂ,"Mann,Ehemann","man,ˈeːəman"
42,mother,"мать(matʹ),ма́ма(máma),ма́тушка(mátuška)",matʲ,Mutter,ˈmʊtɐ
43,father,"оте́ц(otéc),па́па(pápa),ба́тюшка(bátjuška)",ɐˈtʲets,Vater,ˈfaːtɐ
44,animal,"зверь(zverʹ),зверёк(zverjók,“diminutive”),живо́тное(živótnoje)","zvʲerʲ,ʐɨˈvotnəjɪ",Tier,tiːɐ̯
45,fish,"ры́ба(rýba),ры́бка(rýbka,“diminutive”)",ˈrɨbə,Fisch,fɪʃ
46,bird,"пти́ца(ptíca),пти́чка(ptíčka,“diminutive”),пта́шка(ptáška,“diminutive”)",ˈptʲitsə,Vogel,ˈfoːgəl
47,dog,"соба́ка(sobáka),соба́чка(sobáčka,“diminutive”),пёс(pjós)","sɐˈbakə,pʲɵs",Hund,hʊnt
